Timestamp,Your age,Gender,Your residential area,Type of the university,Location of the university,Academic Year,Academic Type,Academic Area,Which device you use for online learning,Is the device available for you during e-learning?,Do you think not having a device is a barrier for e-learning?,What platform do you use for online learning?,"If other, name the platform you use for e-learning",Rate your competence when using the above learning platform,Did you miss lessons/learnings due to the incapability of using the learning platform?,Do you on your microphone during e-learning?,Do you on your camera during e-learning?,How you rate your internet connection?,Have you missed online lessons due to poor internet connection?,Do you use any internet connection plans offered by different service providers?,Having an internet connection plan helped me in e-learning?,Are your online lectures/lessons recorded?,Is the recording available for you to access all times?,Did the recorded lectures help you for e-learning?,Average time per lecture,Do you think a short break between a lecture is effective?,How many lectures do you have per day?,What would you think about the ideal time/most productive time for lectures?,Does your lecturer/instructor gives you group activities?,Has it been useful for you to improve your knowledge?,"Does your university provide recreation activities ? (Eg: music evenings, fun activities etc)",Do you think recreation activities will improve student engagement and reduce boredom?,Did you set up a common group to share knowledge/ clarify subject related queries among batch mates (Eg: whatsapp grp/ viber group/ facebook group/internal groups) etc?,Do you share your knowledge/ help others using the above groups?,Does these groups helped you for e-learning?,Any suggestions to make e-learning successful,What types of assignments/exams do you have?,Do you satisfy with the online assignment/exam process?,Any suggestions how the assignment/exam process can improve? ,Overall do you think e-learning is successful?,,How the exams are conducted?
10/5/2021 22:04:52,27,Male,Sabaragamuwa Province,State university,Western Province,Fifth year,Full time student,Architecture,"Mobile phone, Tab, Laptop",5,Yes,Zoom,,5,No,Sometimes,Sometimes,3,2,"No, but I am aware of those internet connection plans",5,4,1,5,2h-3h,Yes,1,Morning,2,1,1,Maybe,Yes,3,4,1,,,,2,,
10/6/2021 20:10:12,24,Female,Sabaragamuwa Province,State university,Southern Province,Fourth year,Full time student,Accounting / Finance / Management,Laptop,4,Maybe,"Ms Teams, Zoom",,4,No,Sometimes,Sometimes,3,4,Yes,4,4,4,5,2h-3h,Maybe,3,Morning,4,4,3,Yes,Yes,5,5,It should improve good internet connection.,,,,3,,
10/7/2021 14:09:00,27,Male,Sabaragamuwa Province,State university,Western Province,Fifth year,Full time student,Architecture,"Mobile phone, Tab, Laptop",5,Yes,Zoom,,3,No,Sometimes,Sometimes,3,1,"No, but I am aware of those internet connection plans",1,5,4,5,2h-3h,Yes,1,Morning,2,2,1,Maybe,Yes,4,4,When we are working on design need continuous supervision.and  Online exams can replace into the assignments,,,,1,,
10/10/2021 20:35:16,24,Male,Sabaragamuwa Province,State university,Southern Province,Third year,Full time student,Accounting / Finance / Management,"Mobile phone, Laptop",4,Yes,Zoom,,3,Yes,Sometimes,Not at all,2,1,Yes,4,4,4,4,1h-2h,Yes,2,Morning,4,4,Yes,4,Yes,5,4,No,"Writing answers in a paper, scan(take photos) and submit to the Moodle/LMS",3,No,3,,
10/10/2021 20:37:04,25,Male,Sabaragamuwa Province,State university,Central Province,Third year,Full time student,IT/Technology/Computer Science,"Mobile phone, Laptop",5,Yes,Zoom,"Youtube, udemy,cousera",3,Yes,Not at all,Not at all,2,4,Yes,5,4,4,5,0-1h,No,4,"Morning, Evening",1,2,No,5,Yes,5,5,Better internet connection and packeges,"Writing answers in a paper, scan(take photos) and submit to the Moodle/LMS",3,No,5,,
10/10/2021 20:43:51,26,Male,Southern Province,State university,Southern Province,Fifth year,Full time student,Accounting / Finance / Management,"Mobile phone, Laptop",4,Yes,Zoom,,4,No,Sometimes,Sometimes,2,4,Yes,4,5,5,5,1h-2h,Yes,3,Morning,4,4,Yes,4,Yes,4,4,Internet connections should make stable  ,"Writing answers in a paper, scan(take photos) and submit to the Moodle/LMS",4, Trial should be given likea examination,4,,
10/10/2021 20:44:22,25,Male,Sabaragamuwa Province,State university,Western Province,Third year,Full time student,Accounting / Finance / Management,Laptop,4,Yes,Zoom,,4,Yes,"Yes, all times",Sometimes,2,5,Yes,4,5,5,4,1h-2h,Maybe,2,Morning,4,4,Yes,4,Yes,4,4,All students haven’t strong connection for e learning so i thing first we must resolve it for success this ,MCQ quiz in the Moodle/LMS,4,Provide open book exam because it’s help to measure correctly knowledge of student ,4,,
10/10/2021 20:46:42,24,Female,Sabaragamuwa Province,State university,Western Province,Fourth year,Full time student,Accounting / Finance / Management,"Mobile phone, Laptop",5,Yes,"Ms Teams, Zoom",,5,Yes,Sometimes,Sometimes,4,3,"No, but I am aware of those internet connection plans",5,5,5,5,"3h-4h, more than 4h",Yes,3,"Morning, Evening",5,5,Yes,4,Yes,5,4,Make for strong internet connection ,"MCQ quiz in the Moodle/LMS, Writing answers in a paper, scan(take photos) and submit to the Moodle/LMS",5,As i Think typing a paper is very effective ,5,,
10/10/2021 20:46:44,25,Female,Sabaragamuwa Province,State university,Sabaragamuwa Province,Fourth year,Full time student,Accounting / Finance / Management,Laptop,4,Yes,Zoom,Teams,4,Yes,Sometimes,Sometimes,3,4,Yes,3,3,4,3,"3h-4h, more than 4h",Yes,More than 4,Morning,3,3,No,3,Yes,3,3,No,"Writing answers in a paper, scan(take photos) and submit to the Moodle/LMS",3,No,3,,
10/10/2021 20:50:59,25,Female,Sabaragamuwa Province,State university,North Western Province,Third year,Full time student,,Laptop,4,Yes,Zoom,,4,Yes,Not at all,Sometimes,3,4,"No, but I am aware of those internet connection plans",5,2,1,5,1h-2h,Yes,4,Morning,4,5,Yes,4,Yes,5,5,Yes ,"MCQ quiz in the Moodle/LMS, Writing answers in a paper, scan(take photos) and submit to the Moodle/LMS",4,No any suggestion ,4,,
10/10/2021 20:58:39,25,Female,Sabaragamuwa Province,State university,Western Province,Third year,Full time student,Accounting / Finance / Management,"Mobile phone, Laptop",4,Yes,"Ms Teams, Zoom",Moodle,4,Yes,Sometimes,Sometimes,3,3,"No, but I am aware of those internet connection plans",5,4,5,5,2h-3h,Yes,2,Evening,5,5,Yes,5,Yes,4,4,no,"MCQ quiz in the Moodle/LMS, Writing answers in a paper, scan(take photos) and submit to the Moodle/LMS",4,No,4,,
